aalib                          @1.4rc5         graphics/aalib
libgnomecanvas                 @2.30.3         gnome/libgnomecanvas
libgnomecups                   @0.2.3          gnome/libgnomecups
libgnomemm                     @2.30.0         gnome/libgnomemm
libgnomeprint                  @2.18.8         gnome/libgnomeprint
libgnomeprintui                @2.18.6         gnome/libgnomeprintui
libgnomeui                     @2.24.5         gnome/libgnomeui
libgpg-error                   @1.10           devel/libgpg-error
libgsasl                       @1.6.1          security/libgsasl
libgsf                         @1.14.22        gnome/libgsf
libgtop                        @2.28.4         gnome/libgtop
libgweather                    @2.30.3         net/libgweather
libical                        @0.43           devel/libical
libiconv                       @1.14           textproc/libiconv
libid3tag                      @0.15.1b        audio/libid3tag
libidl                         @0.8.14         devel/libidl
libidn                         @1.25           mail/libidn
libLASi                        @1.1.0          print/libLASi
liblqr                         @1-0.4.1        graphics/liblqr
libmad                         @0.15.1b        audio/libmad
libmcrypt                      @2.5.8          devel/libmcrypt
libmd                          @0.3            devel/libmd
libmemcached                   @1.0.8          devel/libmemcached
libmikmod                      @3.2.0-beta2    audio/libmikmod
libmng                         @1.0.10         graphics/libmng
libmowgli                      @0.7.1          devel/libmowgli
libmpc                         @1.0            devel/libmpc
libmpdclient                   @2.7            audio/libmpdclient
libnet11                       @1.1.6          net/libnet11
libnetdude                     @0.12           net/libnetdude
libnids                        @1.24           net/libnids
libnotify                      @0.5.2          devel/libnotify
libogg                         @1.3.0          multimedia/libogg
liboil                         @0.3.17         devel/liboil
libopennet                     @0.9.9          net/libopennet
libopenraw                     @0.0.9          graphics/libopenraw
libopenraw                     @0.0.9          graphics/libopenraw
libotr                         @3.2.0          security/libotr
libpaper                       @1.1.24         print/libpaper
libpcap                        @1.2.1          net/libpcap
libpcapnav                     @0.8            net/libpcapnav
libpixman                      @0.26.2         graphics/libpixman
libpng                         @1.4.12         graphics/libpng
libpng                         @1.4.12         graphics/libpng
libproxy                       @0.4.7          net/libproxy
librsvg                        @2.36.1         graphics/librsvg
librsvg                        @2.36.1         graphics/librsvg
librsync                       @0.9.7          net/librsync
libsamplerate                  @0.1.8          audio/libsamplerate
libsdl                         @1.2.15         devel/libsdl
libsdl_image                   @1.2.12         devel/libsdl_image
libsdl_mixer                   @1.2.12         audio/libsdl_mixer
libsdl_net                     @1.2.8          devel/libsdl_net
libsdl_ttf                     @2.0.11         devel/libsdl_ttf
libsigcxx2                     @2.2.10         devel/libsigcxx2
libsndfile                     @1.0.25         audio/libsndfile
libsoup                        @2.38.1         gnome/libsoup
libspiro                       @20071029       graphics/libspiro
libssh                         @0.5.2          devel/libssh
libssh01                       @0.11           devel/libssh01
libssh2                        @1.2.7          devel/libssh2
libsvm                         @3.12           math/libsvm
libtasn1                       @2.11           devel/libtasn1
libtheora                      @1.1.1          multimedia/libtheora
libtomcrypt                    @1.17           security/libtomcrypt
libtool                        @2.4.2          devel/libtool
libtorrent                     @0.13.2         net/libtorrent
libudns                        @0.0.9          net/libudns
libunwind-headers              @30             devel/libunwind-headers
libusb                         @1.0.9          devel/libusb
libusb-compat                  @0.1.4          devel/libusb-compat
libvorbis                      @1.3.3          audio/libvorbis
libvpx                         @1.1.0          multimedia/libvpx
libwmf                         @0.2.8.4        graphics/libwmf
libxml2                        @2.7.8          textproc/libxml2
libxslt                        @1.1.26         textproc/libxslt
libyaml                        @0.1.4          devel/libyaml
libzzip                        @0.13.62        archivers/libzzip
links                          @2.5            www/links
llvm-3.0                       @3.0            lang/llvm-3.0
llvm_select                    @0.2            sysutils/llvm_select
lua                            @5.1.4          lang/lua
luarocks                       @2.0.8          devel/luarocks
lynx                           @2.8.7rel.1     www/lynx
lzip                           @1.12           archivers/lzip
lzo                            @1.08           devel/lzo
lzo2                           @2.05           archivers/lzo2
m4                             @1.4.16         devel/m4
macutil                        @2.0b3          sysutils/macutil
